PMID,DOI,Author Information,Abstract
15044677,,"(1)Department of Medical Rehabilitation, University of Medicine and Pharmacy of 
Craiova, Romania; anamariabumbea@yahoo.com.

",
29556602,10.3390/ijms25094969,"(1)State Key Laboratory of Vaccines for Infectious Diseases, Xiang An 
Biomedicine Laboratory, State Key Laboratory of Molecular Vaccinology and 
Molecular Diagnostics, National Innovation Platform for Industry-Education 
Integration in Vaccine Research, School of Public Health, Xiamen University, 
Xiamen 361102, China.

","
Tau protein misfolding and aggregation are pathological hallmarks of Alzheimer's 
disease and over twenty neurodegenerative disorders. However, the molecular 
mechanisms of tau aggregation in vivo remain incompletely understood. There are 
two types of tau aggregates in the brain: soluble aggregates (oligomers and 
protofibrils) and insoluble filaments (fibrils). Compared to filamentous 
aggregates, soluble aggregates are more toxic and exhibit prion-like 
transmission, providing seeds for templated misfolding. Curiously, in its native 
state, tau is a highly soluble, heat-stable protein that does not form fibrils 
by itself, not even when hyperphosphorylated. In vitro studies have found that 
negatively charged molecules such as heparin, RNA, or arachidonic acid are 
generally required to induce tau aggregation. Two recent breakthroughs have 
provided new insights into tau aggregation mechanisms. First, as an 
intrinsically disordered protein, tau is found to undergo liquid-liquid phase 
separation (LLPS) both in vitro and inside cells. Second, cryo-electron 
microscopy has revealed diverse fibrillar tau conformations associated with 
different neurodegenerative disorders. Nonetheless, only the fibrillar core is 
structurally resolved, and the remainder of the protein appears as a ""fuzzy 
coat"". From this review, it appears that further studies are required (1) to 
clarify the role of LLPS in tau aggregation; (2) to unveil the structural 
features of soluble tau aggregates; (3) to understand the involvement of fuzzy 
coat regions in oligomer and fibril formation."
38732197,10.1016/s0165-0173(00)00019-9,"(1)INSERM U422, Place de Verdun, 59045 cedex, Lille, France. 
Luc.Buee@lille.inserm.fr

","

Tau proteins belong to the family of microtubule-associated proteins. They are 
mainly expressed in neurons where they play an important role in the assembly of 
tubulin monomers into microtubules to constitute the neuronal microtubules 
network. Microtubules are involved in maintaining the cell shape and serve as 
tracks for axonal transport. Tau proteins also establish some links between 
microtubules and other cytoskeletal elements or proteins. Tau proteins are 
translated from a single gene located on chromosome 17. Their expression is 
developmentally regulated by an alternative splicing mechanism and six different 
isoforms exist in the human adult brain. Tau proteins are the major constituents 
of intraneuronal and glial fibrillar lesions described in Alzheimer's disease 
and numerous neurodegenerative disorders referred to as 'tauopathies'. Molecular 
analysis has revealed that an abnormal phosphorylation might be one of the 
important events in the process leading to their aggregation. Moreover, a 
specific set of pathological tau proteins exhibiting a typical biochemical 
pattern, and a different regional and laminar distribution could characterize 
each of these disorders. Finally, a direct correlation has been established 
between the progressive involvement of the neocortical areas and the increasing 
severity of dementia, suggesting that pathological tau proteins are reliable 
marker of the neurodegenerative process. The recent discovery of tau gene 
mutations in frontotemporal dementia with parkinsonism linked to chromosome 17 
has reinforced the predominant role attributed to tau proteins in the 
pathogenesis of neurodegenerative disorders, and underlined the fact that 
distinct sets of tau isoforms expressed in different neuronal populations could 
lead to different pathologies."
10967355,10.1016/j.ejmech.2017.07.070,"(1)Université Caen Normandie, France; UNICAEN, CERMN - EA 4258, FR CNRS 3038 
INC3M, SF 4206 ICORE, bd Becquerel, F-14032 Caen, France.
(2)Université Caen Normandie, France; UNICAEN, CERMN - EA 4258, FR CNRS 3038 
INC3M, SF 4206 ICORE, bd Becquerel, F-14032 Caen, France. Electronic address: 
anne-sophie.voisin@unicaen.fr.

","

Alzheimer's Disease (AD) is a neurodegenerative brain disorder in which many 
biological dysfunctions are involved. Among them, two main types of lesions were 
discovered and widely studied: the amyloid plaques and the neurofibrillary 
tangles (NFTs). These two lesions are caused by the dysfunction and the 
accumulation of two proteins which are, respectively, the beta-amyloid peptide 
and the tau protein. The process that leads these two proteins to aggregate is 
complex and is the subject of current studies. After a brief description of the 
aggregation mechanisms, we will provide an overview of new therapeutic agents 
targeting the different dysfunctions and toxic species found during aggregation.

Copyright © 2017 Elsevier Masson SAS. All rights reserved."
28800454,10.1002/cmdc.202400180,"(1)Department of Chemistry, Organic and Bioorganic Chemistry, Bielefeld 
University, Universitätsstraße 25, D-33615, Bielefeld, Germany.

","
Tau, a microtubule-associated protein (MAP), is essential to maintaining 
neuronal stability and function in the healthy brain. However, aberrant 
modifications and pathological aggregations of Tau are implicated in various 
neurodegenerative disorders, collectively known as tauopathies. The most common 
Tauopathy is Alzheimer's Disease (AD) counting nowadays more than 60 million 
patients worldwide. This comprehensive review delves into the multifaceted realm 
of Tau protein, puzzling out its intricate involvement in both physiological and 
pathological roles. Emphasis is put on Tau Protein-Protein Interactions (PPIs), 
depicting its interaction with tubulin, microtubules and its cross-interaction 
with other proteins such as Aβ1-42, α-synuclein, and the chaperone machinery. In 
the realm of therapeutic strategies, an overview of diverse possibilities is 
presented with their relative clinical progresses. The focus is mostly addressed 
to Tau protein aggregation inhibitors including recent small molecules, short 
peptides and peptidomimetics with specific focus on compounds that showed a 
double anti aggregative activity on both Tau protein and Aβ amyloid peptide. 
This review amalgamates current knowledge on Tau protein and evolving 
therapeutic strategies, providing a comprehensive resource for researchers 
seeking to deepen their understanding of the Tau protein and for scientists 
involved in the development of new peptide-based anti-aggregative Tau compounds.

© 2024 The Author(s). ChemMedChem published by Wiley-VCH GmbH."
39031682,10.1002/cbic.202400566,"(1)Department of Biotechnology, University of Verona, 37134, Verona, Italy.

","The microtubule-associated protein tau is an intrinsically disordered protein 
highly expressed in neuronal axons. In healthy neurons, tau regulates 
microtubule dynamics and neurite outgrowth. However, pathological conditions can 
trigger aberrant tau aggregation into insoluble filaments, a hallmark of 
neurodegenerative disorders known as tauopathies. Tau undergoes diverse 
posttranslational modifications (PTMs), suggesting complex regulation and 
potentially varied functions. Among PTMs, the role and mechanisms of 
ubiquitination in physiology and disease have remained enigmatic. The past three 
decades have witnessed the emergence of key studies on tau protein 
ubiquitination. In this concept, we discuss how these investigations have begun 
to shed light on the ubiquitination patterns of physiological and pathological 
tau, the responsible enzymatic machinery, and the influence of ubiquitination on 
tau aggregation. We also provide an overview of the semi-synthetic methods that 
have enabled in vitro investigations of conformational transitions of tau 
induced by ubiquitin modification. Finally, we discuss future perspectives in 
the field necessary to elucidate the molecular mechanisms of tau ubiquitination 
and clearance.

© 2024 The Author(s). ChemBioChem published by Wiley-VCH GmbH."
39291301,10.1007/s12031-023-02143-w,"(1)DZNE, German Ctr. for Neurodegenerative Diseases, Venusberg-Campus 1/99, 
53127, Bonn, Germany.
(2)CAESAR Research Center, Ludwig-Erhard-Allee 2, 53175, Bonn, Germany.
(3)Department of Neurodegenerative Diseases and Gerontopsychiatry, University of 
Bonn Medical School, Bonn, Germany.
(4)DZNE, German Center for Neurodegenerative Diseases, Chariteplatz 1, 10117, 
Berlin, Germany.
(5)DZNE, German Ctr. for Neurodegenerative Diseases, Venusberg-Campus 1/99, 
53127, Bonn, Germany. eva.mandelkow@dzne.de.
(6)CAESAR Research Center, Ludwig-Erhard-Allee 2, 53175, Bonn, Germany. 
eva.mandelkow@dzne.de.

","

The stereotypical progression of Tau pathology during Alzheimer disease has been 
attributed to trans-neuronal spreading of misfolded Tau proteins, followed by 
prion-like templated aggregation of Tau. The nature of Tau and the cellular 
mechanisms of Tau spreading are still under debate. We hypothesized that Tau's 
propensity for aggregation would correlate with its ability to spread across 
synapses and propagate pathology. To study the progressive propagation of Tau 
proteins in brain regions relevant for Alzheimer disease, we used mice 
expressing near-physiological levels of full-length human Tau protein carrying 
pro-aggregant (TauΔK280, TauΔK) or anti-aggregant (TauΔK280-PP, TauΔK-PP) 
mutations in the entorhinal cortex (EC). To enhance Tau expression in the EC, we 
performed EC injections of adeno-associated virus (AAV) particles encoding TauΔK 
or TauΔK-PP. The brains of injected and non-injected EC/TauΔK and EC/TauΔK-PP 
mice were studied by immunohistological and biochemical techniques to detect Tau 
propagation to dentate gyrus (DG) neurons and Tau-induced pathological changes. 
Pro- and anti-aggregant mice had comparable low transgene expression (~0.2 times 
endogenous mouse Tau). They accumulated human Tau at similar rates and only in 
expressing EC neurons, including their axonal projections of the perforant path 
and presynaptic terminals in the molecular layer of the DG. Pro-aggregant 
EC/TauΔK mice showed misfolded Tau and synaptic protein alterations in EC 
neurons, not observed in anti-aggregant EC/TauΔK-PP mice. Additional 
AAV-mediated expression of TauΔK or TauΔK-PP in EC/TauΔK or EC/TauΔK-PP mice, 
respectively, increased the human Tau expression to ~0.65 times endogenous mouse 
Tau, with comparable spreading of TauΔK and TauΔK-PP throughout the EC. There 
was a low level of transcellular propagation of Tau protein, without 
pathological phosphorylation or misfolding, as judged by diagnostic antibodies. 
Additionally, TauΔK but not TauΔK-PP expression induced hippocampal 
astrogliosis. Low levels of pro- or anti-aggregant full-length Tau show 
equivalent distributions in EC neurons, independent of their aggregation 
propensity. Increasing the expression via AAV induce local Tau misfolding in the 
EC neurons, synaptotoxicity, and astrogliosis and lead to a low level of 
detectable trans-neuronal spreading of Tau. This depends on its concentration in 
the EC, but, contrary to expectations, does not depend on Tau's aggregation 
propensity/misfolding and does not lead to templated misfolding in recipient 
neurons.

© 2023. The Author(s)."
37606769,10.1523/JNEUROSCI.22-21-09340.2002,"(1)Medical Research Council Laboratory of Molecular Biology, Cambridge CB2 2QH, 
United Kingdom.

","
The identification of mutations in the Tau gene in frontotemporal dementia and 
parkinsonism linked to chromosome 17 (FTDP-17) has made it possible to express 
human tau protein with pathogenic mutations in transgenic animals. Here we 
report on the production and characterization of a line of mice transgenic for 
the 383 aa isoform of human tau with the P301S mutation. At 5-6 months of age, 
homozygous animals from this line developed a neurological phenotype dominated 
by a severe paraparesis. According to light microscopy, many nerve cells in 
brain and spinal cord were strongly immunoreactive for hyperphosphorylated tau. 
According to electron microscopy, abundant filaments made of hyperphosphorylated 
tau protein were present. The majority of filaments resembled the half-twisted 
ribbons described previously in cases of FTDP-17, with a minority of filaments 
resembling the paired helical filaments of Alzheimer's disease. 
Sarkosyl-insoluble tau from brains and spinal cords of transgenic mice ran as a 
hyperphosphorylated 64 kDa band, the same apparent molecular mass as that of the 
383 aa tau isoform in the human tauopathies. Perchloric acid-soluble tau was 
also phosphorylated at many sites, with the notable exception of serine 214. In 
the spinal cord, neurodegeneration was present, as indicated by a 49% reduction 
in the number of motor neurons. No evidence for apoptosis was obtained, despite 
the extensive colocalization of hyperphosphorylated tau protein with activated 
MAP kinase family members. The latter may be involved in the 
hyperphosphorylation of tau."
12417659,10.3233/JAD-180917,"(1)Department of Clinical Laboratory, The First Affliated Hospital of Guizhou 
University of Traditional Chinese Medicine, Guiyang, Guizhou, China.
(2)Clinical Research Center, The First Affiliated Hospital of Guizhou University 
of Traditional Chinese Medicine, Guiyang, Guizhou, China.

","
Tauopathies are a specific type of slow and progressive neurodegeneration, which 
involves intracellular deposition of fibrillar material composed of abnormal 
hyperphosphorylation of the microtubule associated protein (MAP) tau. Despite 
many years of intensive research, our understanding of the molecular events that 
lead to neurodegeneration is far from complete. No effective therapeutic 
treatments have been defined, and questions surround the validity and utility of 
existing animal models. It is an urgent need to develop a novel animal model to 
study the underlying neurodegenerative mechanisms of tauopathies. Zebrafish 
models of tauopathies could complement existing models by providing an in vivo 
platform for genetic and chemical screens in order to identify new therapeutic 
targets and compounds, meanwhile zebrafish models have permitted discovery of 
unique characteristics of these genes that could have been difficultly observed 
in other models. Novel transgenic zebrafish models expressing wild-type or 
mutant forms of human 4R-tau in neurons have recently been reported. These 
studies show disease-relevant changes including tau hyperphosphorylation, 
aggregation and somato-dendritic relocalization. This review highlights the 
availability of transgenic tau zebrafish models that allow more detailed 
biochemical studies of tau in the zebrafish CNS to characterize solubility, 
fibril morphology and further clarify phosphorylation proceedings. Furthermore, 
a deeper knowledge of the zebrafish brain and a better characterization of tau 
caused by alterations in neurodegenerative disorders are needed."
31006683,10.1016/j.semcdb.2019.06.007,"(1)German Center for Neurodegenerative Diseases (DZNE), Von-Siebold-Str. 3a, 
37075, Göttingen, Germany; Department of Neurology, University Medical Center 
Göttingen, University of Göttingen, Waldweg 33, 37073, Göttingen, Germany.
(2)German Center for Neurodegenerative Diseases (DZNE), Chariteplatz 1, 10117, 
Berlin, Germany. Electronic address: Susanne.Wegmann@dzne.de.
(3)German Center for Neurodegenerative Diseases (DZNE), Von-Siebold-Str. 3a, 
37075, Göttingen, Germany; Department of Neurology, University Medical Center 
Göttingen, University of Göttingen, Waldweg 33, 37073, Göttingen, Germany; 
Department for NMR-based Structural Biology, Max Planck Institute for 
Biophysical Chemistry, Am Faßberg 11, 37077, Göttingen, Germany. Electronic 
address: Markus.Zweckstetter@dzne.de.

","
Cells contain multiple compartments dedicated to the regulation and control of 
biochemical reactions. Cellular compartments that are not surrounded by 
membranes can rapidly form and dissolve in response to changes in the cellular 
environment. The physicochemical processes that underlie the formation of 
non-membrane-bound compartments in vivo are connected to liquid-liquid phase 
separation of proteins and nucleic acids in vitro. Recent evidence suggests that 
the protein tau, which plays an important role in Alzheimer's disease and other 
neurodegenerative disorders, phase separates in solution, forms tau phases with 
microtubules, and associates with phase-separated RNA-binding protein granules 
in cells. Here we review the experimental evidence that supports the ability of 
tau to phase separate in solution and form biomolecular condensates in cells. As 
for other disease-relevant proteins, the physiological and pathological 
functions of tau are tightly connected - through loss of normal function or gain 
of toxic function - and we therefore discuss how tau phase separation plays a 
role for both, and with respect to different cellular functions of tau.

Copyright © 2019 Elsevier Ltd. All rights reserved."
